text,intent
i'd prefer to take a route without traffic,route_preference
i want directions to connaught place,navigate
cancel this route,cancel
where can i find a restaurant nearby,search_nearby
let's go to the beach,navigate
any pharmacy around here,search_nearby
prefer the route with no highways,route_preference
show nearby parking,search_nearby
avoid tolls,route_preference
is there a jam ahead,traffic_info
end the trip,cancel
can you take me to the airport,navigate
can you give me the quickest way,route_preference
directions to the bus stop,navigate
plot a route to jubilee hills,navigate
please use the scenic route,route_preference
navigate to jubilee hills,navigate
make sure to use driving directions only,route_preference
i want directions to downtown,navigate
end navigation please,cancel
nearest parking please,search_nearby
can you take me to mg road,navigate
i'm looking for a ev charging station nearby,search_nearby
set destination to the stadium,navigate
what is my current location,current_location
tell me my current position,current_location
i'd prefer to take the route with least traffic,route_preference
i'm looking for a medical store nearby,search_nearby
search for parking lot nearby,search_nearby
is there a atm close by,search_nearby
take a route without traffic,route_preference
please take the route with least traffic,route_preference
i want directions to my friend's house,navigate
please switch to public transport route,route_preference
make sure to avoid highways for this route,route_preference
nearest gas station please,search_nearby
i want to go to my home,navigate
show nearby gas station,search_nearby
make sure to switch to public transport route,route_preference
find a charging point near me,search_nearby
guide me to the stadium,navigate
how is the traffic right now,traffic_info
show me the way to jubilee hills,navigate
guide me to the bus stop,navigate
directions to downtown,navigate
plot a route to mg road,navigate
find a petrol pump near me,search_nearby
can you tell me where i am,current_location
search for bank nearby,search_nearby
pinpoint my current location,current_location
i'd prefer to use the scenic route,route_preference
show me the way to the hotel,navigate
cancel current route,cancel
start navigation to the hotel,navigate
let's go to secunderabad,navigate
search for parking nearby,search_nearby
i want directions to jubilee hills,navigate
guide me to gachibowli,navigate
can you find a fuel station close to me,search_nearby
any clinic around here,search_nearby
nearest supermarket please,search_nearby
route to the stadium,navigate
plot a route to gachibowli,navigate
i need a cafe nearby,search_nearby
please prefer the route with no highways,route_preference
any supermarket around here,search_nearby
please avoid the highway,route_preference
take the fastest route,route_preference
is traffic clear right now,traffic_info
show my location,current_location
is there a clinic close by,search_nearby
please give me the quickest way,route_preference
let's go to charminar,navigate
search for supermarket nearby,search_nearby
head to the nearest mall,navigate
